Date,Close/Last,Volume,Open,High,Low
08/16/2024,$198.50,2811121,$197.59,$199.61,$196.83
08/15/2024,$198.46,2900232,$198.952,$200.23,$198.10
08/14/2024,$197.60,3471298,$196.00,$197.79,$195.57
08/13/2024,$196.73,3739387,$197.26,$197.4117,$195.61
08/12/2024,$196.79,3073966,$198.46,$198.50,$196.53
08/09/2024,$198.23,1888151,$199.025,$199.16,$197.52
08/08/2024,$199.82,2461136,$197.92,$200.54,$197.92
08/07/2024,$197.92,3292176,$200.55,$203.9538,$197.70
08/06/2024,$198.80,3629081,$199.70,$202.18,$198.49
08/05/2024,$199.71,3915475,$202.53,$202.53,$196.90
08/02/2024,$203.69,3377778,$208.25,$208.96,$201.3042
08/01/2024,$204.58,3742962,$204.33,$206.76,$201.50
07/31/2024,$204.75,3323861,$203.76,$206.76,$202.14
07/30/2024,$202.64,2608471,$201.95,$203.95,$201.465
07/29/2024,$201.40,2874004,$203.53,$203.76,$199.13
07/26/2024,$202.74,7452531,$203.03,$207.80,$198.24
07/25/2024,$202.45,6683690,$202.79,$205.2269,$199.00
07/24/2024,$213.65,3524717,$217.38,$217.765,$213.13
07/23/2024,$217.38,1791248,$216.98,$218.86,$216.205
07/22/2024,$216.97,2784618,$215.27,$217.11,$213.63
07/19/2024,$214.61,2660590,$217.73,$218.14,$214.241
07/18/2024,$217.67,2165441,$219.98,$220.79,$217.52
07/17/2024,$220.21,2688142,$219.00,$220.71,$217.845
07/16/2024,$218.47,2978471,$215.85,$219.01,$215.65
07/15/2024,$215.72,1732209,$214.40,$216.33,$213.41
07/12/2024,$215.11,2089379,$215.53,$216.85,$212.3281
07/11/2024,$214.85,2701551,$215.00,$216.67,$213.65
07/10/2024,$214.49,1791777,$211.20,$214.94,$210.765
07/09/2024,$210.60,1375377,$211.69,$212.10,$210.56
07/08/2024,$211.63,1838096,$211.89,$213.23,$211.02
07/05/2024,$212.24,1355280,$212.57,$212.91,$210.74
07/03/2024,$212.46,1086724,$213.00,$213.27,$212.0709
07/02/2024,$213.23,1908531,$211.77,$213.28,$210.96
07/01/2024,$210.95,2148470,$213.14,$215.53,$210.87
06/28/2024,$213.54,4804816,$214.14,$216.15,$211.14
06/27/2024,$214.38,1913218,$214.30,$215.35,$213.01
06/26/2024,$213.43,2173863,$213.55,$214.07,$211.60
06/25/2024,$214.45,2970633,$216.83,$216.83,$213.72
06/24/2024,$215.89,2933238,$215.21,$218.36,$214.91
06/21/2024,$215.09,7929048,$215.785,$216.08,$213.5201
06/20/2024,$214.14,4042227,$213.40,$215.19,$212.87
06/18/2024,$212.87,2443359,$211.04,$213.225,$210.43
06/17/2024,$211.95,3100728,$208.00,$212.17,$207.54
06/14/2024,$208.53,2239211,$207.20,$208.68,$206.01
06/13/2024,$208.63,1959739,$207.09,$208.97,$206.25
06/12/2024,$208.50,2471388,$210.75,$211.63,$207.74
06/11/2024,$209.48,2304900,$209.78,$209.855,$207.15
06/10/2024,$210.74,2648314,$209.77,$211.059,$209.13
06/07/2024,$208.78,2563323,$208.52,$210.97,$207.66
06/06/2024,$208.45,3270848,$209.17,$210.21,$207.62
06/05/2024,$209.27,2722837,$207.93,$209.449,$205.87
06/04/2024,$207.23,3360804,$201.06,$208.1499,$201.06
06/03/2024,$202.46,2443667,$203.82,$203.82,$200.99
05/31/2024,$202.19,3163480,$200.33,$202.28,$199.13
05/30/2024,$200.91,2314211,$197.80,$201.28,$197.4001
05/29/2024,$197.07,2846213,$197.83,$198.405,$196.89
05/28/2024,$199.18,2417316,$198.16,$200.84,$198.10
05/24/2024,$199.69,2360667,$200.35,$200.81,$199.19
05/23/2024,$199.39,2616403,$201.53,$201.55,$199.22
05/22/2024,$202.80,2013302,$203.12,$203.94,$201.88
05/21/2024,$203.51,1742860,$205.22,$205.24,$203.14
05/20/2024,$204.62,2008300,$205.75,$206.19,$203.25
05/17/2024,$205.97,2267215,$206.89,$207.00,$205.18
05/16/2024,$206.62,2566941,$204.97,$207.27,$204.58
05/15/2024,$205.06,2675812,$204.37,$205.35,$202.77
05/14/2024,$203.21,2378589,$205.00,$205.38,$202.91
05/13/2024,$203.80,3505342,$204.44,$206.72,$203.74
05/10/2024,$202.92,2318408,$201.00,$203.23,$200.72
05/09/2024,$200.63,2692175,$198.85,$200.79,$197.87
05/08/2024,$198.05,1788289,$196.69,$198.36,$195.9212
05/07/2024,$196.85,2052177,$195.03,$197.1942,$195.03
05/06/2024,$195.00,2257722,$196.37,$197.20,$193.95
05/03/2024,$195.81,2251381,$194.77,$196.24,$193.54
05/02/2024,$193.64,3418699,$196.38,$196.48,$192.685
05/01/2024,$195.30,5084843,$191.97,$197.18,$191.901
04/30/2024,$192.73,3128075,$193.99,$195.84,$192.32
04/29/2024,$193.77,2593584,$193.26,$194.26,$192.22
04/26/2024,$193.45,3041537,$190.30,$193.65,$190.11
04/25/2024,$193.02,3894330,$199.46,$200.135,$190.49
04/24/2024,$194.79,3578298,$193.56,$195.72,$193.26
04/23/2024,$196.16,2557257,$196.03,$197.61,$195.675
04/22/2024,$195.58,2366958,$194.28,$196.30,$194.14
04/19/2024,$194.26,3570010,$192.61,$194.53,$191.63
04/18/2024,$191.08,2143197,$191.00,$192.295,$189.99
04/17/2024,$190.36,2424388,$192.41,$192.52,$189.75
04/16/2024,$190.72,2801925,$193.14,$193.69,$190.53
04/15/2024,$194.04,3179898,$198.11,$198.49,$193.18
04/12/2024,$196.16,3499520,$195.91,$196.45,$194.61
04/11/2024,$196.87,3026335,$196.01,$197.195,$194.265
04/10/2024,$195.65,2907266,$195.57,$196.45,$194.40
04/09/2024,$198.41,2041975,$198.35,$199.52,$196.02
04/08/2024,$197.76,2384717,$197.59,$199.1908,$197.33
04/05/2024,$197.15,2212855,$195.90,$198.40,$195.1528
04/04/2024,$196.05,3414771,$200.68,$200.68,$195.52
04/03/2024,$197.97,2496129,$199.42,$200.94,$197.92
04/02/2024,$200.23,2615337,$202.08,$202.30,$200.02
04/01/2024,$202.01,2221894,$205.39,$205.89,$201.89
03/28/2024,$205.25,3594210,$205.40,$206.82,$205.18
03/27/2024,$205.13,2760101,$202.94,$205.26,$202.21
03/26/2024,$201.00,2697318,$198.05,$201.47,$197.75
03/25/2024,$198.48,1961385,$200.38,$200.71,$198.43
03/22/2024,$200.73,2061324,$201.52,$201.97,$200.09
03/21/2024,$201.38,2811767,$202.00,$203.0899,$201.29
03/20/2024,$201.18,2714424,$198.59,$201.71,$198.33
03/19/2024,$199.04,4524803,$196.76,$199.24,$196.12
03/18/2024,$196.76,2481716,$199.01,$199.01,$196.38
03/15/2024,$197.69,6310153,$196.39,$198.55,$195.90
03/14/2024,$196.35,3838212,$199.25,$199.73,$194.96
03/13/2024,$199.73,2537637,$199.95,$201.13,$198.84
03/12/2024,$199.13,2938803,$199.73,$200.25,$197.67
03/11/2024,$200.29,2443183,$201.58,$202.565,$199.12
03/08/2024,$200.75,2139383,$203.13,$203.915,$200.45
03/07/2024,$202.61,2447565,$202.21,$203.26,$201.73
03/06/2024,$200.50,2713389,$199.50,$202.41,$198.6712
03/05/2024,$197.35,2532241,$199.13,$199.53,$196.63
03/04/2024,$199.24,2148909,$198.43,$199.79,$198.16
03/01/2024,$198.67,2785462,$197.59,$198.94,$196.07
02/29/2024,$198.73,3437346,$198.29,$200.21,$196.63
02/28/2024,$197.57,2664144,$198.11,$198.93,$197.25
02/27/2024,$198.18,2451977,$199.59,$199.70,$196.95
02/26/2024,$199.19,2028604,$200.03,$200.2001,$198.21
02/23/2024,$200.63,2450243,$200.81,$202.625,$200.53
02/22/2024,$200.81,3635080,$199.43,$201.56,$198.61
02/21/2024,$199.53,1969621,$199.60,$200.3799,$198.205
02/20/2024,$198.94,2761051,$197.95,$199.65,$196.91
02/16/2024,$197.17,2331020,$197.52,$198.90,$196.45
02/15/2024,$197.95,1996523,$196.00,$198.195,$195.615
02/14/2024,$194.87,2115287,$194.44,$195.59,$193.88
02/13/2024,$194.01,4432118,$196.74,$196.96,$192.72
02/12/2024,$197.35,2827875,$193.98,$197.63,$193.77
02/09/2024,$194.84,3686297,$193.00,$195.225,$192.83
02/08/2024,$193.46,2516150,$193.59,$194.0155,$192.25
02/07/2024,$194.10,3029888,$195.47,$195.82,$193.59
02/06/2024,$193.64,3741587,$192.54,$194.065,$192.04
02/05/2024,$193.01,4632180,$193.96,$194.85,$192.82
02/02/2024,$196.11,4317910,$197.035,$200.05,$195.54
02/01/2024,$197.31,7819099,$195.87,$197.57,$189.66
01/31/2024,$202.26,5624518,$207.20,$207.71,$201.76
01/30/2024,$205.90,5646047,$201.16,$206.37,$201.16
01/29/2024,$203.05,2196849,$201.43,$203.06,$200.815
01/26/2024,$201.80,1924770,$203.03,$203.89,$201.39
01/25/2024,$202.56,2653230,$201.74,$203.17,$200.671
01/24/2024,$199.87,3483914,$202.94,$203.78,$199.68
01/23/2024,$202.94,2033826,$201.23,$203.16,$200.63
01/22/2024,$201.04,3589302,$201.34,$203.92,$200.43
01/19/2024,$200.78,3089602,$200.28,$201.24,$198.64
01/18/2024,$200.13,2604627,$197.72,$200.54,$197.2635
01/17/2024,$197.95,2510468,$196.75,$198.09,$196.00
01/16/2024,$197.77,3500369,$200.68,$201.125,$197.51
01/12/2024,$201.10,2429309,$203.39,$203.99,$200.16
01/11/2024,$201.67,1940910,$202.29,$202.59,$199.55
01/10/2024,$202.40,2372259,$201.00,$202.47,$200.42
01/09/2024,$201.63,3082280,$200.48,$201.73,$198.90
01/08/2024,$202.66,4019954,$203.12,$203.545,$201.25
01/05/2024,$203.53,2682727,$204.39,$204.565,$202.26
01/04/2024,$204.90,2542018,$204.12,$206.22,$204.03
01/03/2024,$204.53,3814053,$208.42,$208.42,$204.26
01/02/2024,$209.00,3132684,$208.86,$210.605,$208.32
12/29/2023,$209.71,2256443,$209.22,$210.17,$208.91
12/28/2023,$209.17,1647683,$209.32,$209.97,$208.83
12/27/2023,$209.02,2340215,$207.16,$209.66,$207.16
12/26/2023,$208.04,1860306,$206.14,$208.55,$205.79
12/22/2023,$205.64,1889800,$205.05,$207.16,$204.96
12/21/2023,$205.05,2158664,$203.79,$205.205,$203.43
12/20/2023,$202.90,3349631,$203.71,$205.37,$202.84
12/19/2023,$204.60,2596931,$204.53,$205.07,$203.49
12/18/2023,$205.10,2970685,$204.01,$205.45,$203.48
12/15/2023,$203.40,7523488,$203.85,$205.045,$202.44
12/14/2023,$203.41,3785666,$204.00,$204.644,$202.46
12/13/2023,$203.08,3063397,$202.60,$203.16,$200.25
12/12/2023,$201.51,3094085,$202.00,$202.30,$200.864
12/11/2023,$200.39,3706188,$196.45,$200.51,$196.05
12/08/2023,$194.61,4545331,$196.04,$197.23,$193.01
12/07/2023,$197.79,2436954,$198.99,$199.05,$197.46
12/06/2023,$197.79,2230902,$198.15,$199.125,$197.28
12/05/2023,$196.95,2584262,$197.52,$197.84,$195.331
12/04/2023,$198.36,2717466,$196.52,$198.46,$196.46
12/01/2023,$197.78,3112060,$196.50,$198.085,$195.3201
11/30/2023,$195.92,3114043,$194.27,$196.12,$194.03
11/29/2023,$194.26,2243034,$195.53,$196.32,$193.93
11/28/2023,$194.27,3329148,$192.99,$195.07,$192.41
11/27/2023,$192.97,2480483,$192.61,$193.68,$192.35
11/24/2023,$193.41,1074506,$193.12,$193.71,$192.41
11/22/2023,$192.31,1881988,$191.10,$192.87,$190.13
11/21/2023,$191.24,1877572,$191.09,$191.61,$190.07
11/20/2023,$191.80,2000174,$190.67,$192.375,$190.07
11/17/2023,$191.21,2207822,$191.79,$192.00,$189.93
11/16/2023,$190.71,2133472,$191.22,$192.36,$190.41
11/15/2023,$189.55,4076819,$190.48,$191.76,$188.78
11/14/2023,$190.24,2951656,$188.77,$190.67,$188.65
11/13/2023,$186.51,1675859,$186.80,$187.51,$185.71
11/10/2023,$186.71,2178647,$184.61,$186.92,$183.66
11/09/2023,$183.68,2718322,$183.87,$185.42,$183.20
11/08/2023,$184.62,3193524,$186.88,$186.88,$183.78
11/07/2023,$186.61,2482252,$186.77,$187.2542,$185.56
11/06/2023,$187.50,2339892,$188.67,$188.90,$187.02
11/03/2023,$188.99,2960084,$188.14,$190.21,$187.9789
11/02/2023,$186.43,3059557,$185.60,$187.135,$184.15
11/01/2023,$183.99,3358688,$184.19,$184.2688,$181.42
10/31/2023,$183.26,3770344,$179.50,$183.92,$179.18
10/30/2023,$179.75,2633837,$177.54,$180.30,$176.60
10/27/2023,$177.00,3400371,$175.65,$179.12,$175.35
10/26/2023,$176.06,4817578,$178.58,$182.993,$174.88
10/25/2023,$178.09,4147428,$181.45,$181.78,$177.98
10/24/2023,$181.46,2552306,$181.57,$183.02,$180.26
10/23/2023,$180.52,2073580,$181.59,$183.08,$180.39
10/20/2023,$181.32,3043455,$182.65,$183.78,$181.06
10/19/2023,$182.27,2565722,$183.17,$185.8569,$181.86
10/18/2023,$183.47,2262036,$185.63,$186.04,$183.04
10/17/2023,$186.32,1848913,$185.34,$187.29,$184.965
10/16/2023,$186.23,2433101,$185.61,$187.50,$185.13
10/13/2023,$183.56,2245641,$184.85,$184.85,$182.36
10/12/2023,$183.94,2414023,$187.36,$187.39,$182.82
10/11/2023,$187.40,2210345,$186.56,$188.29,$185.81
10/10/2023,$186.34,3262668,$188.00,$188.09,$184.38
10/09/2023,$186.52,2278984,$185.31,$186.98,$184.76
10/06/2023,$184.66,3770890,$180.47,$185.30,$179.70
10/05/2023,$180.02,2288328,$182.15,$182.42,$179.13
10/04/2023,$182.50,2298684,$181.43,$182.955,$180.415
10/03/2023,$181.14,2490471,$181.86,$182.72,$180.2396
10/02/2023,$182.61,2700935,$184.00,$184.82,$181.07
09/29/2023,$184.74,3330883,$188.22,$188.23,$184.34
09/28/2023,$187.11,2912309,$187.73,$188.98,$186.68
09/27/2023,$187.88,2235298,$188.94,$188.94,$186.35
09/26/2023,$187.89,3399534,$191.01,$191.343,$187.76
09/25/2023,$191.86,2723193,$189.04,$192.03,$188.555
09/22/2023,$189.78,2824497,$190.93,$191.835,$189.59
09/21/2023,$191.43,2917718,$194.67,$194.67,$191.40
09/20/2023,$194.44,2374326,$196.14,$197.09,$194.39
09/19/2023,$195.35,2872400,$193.14,$195.62,$193.14
09/18/2023,$194.46,2296961,$192.75,$195.345,$192.44
09/15/2023,$193.04,6014023,$194.52,$194.9235,$192.39
09/14/2023,$193.56,3682184,$192.40,$195.31,$191.94
09/13/2023,$191.59,5057296,$189.82,$193.66,$189.785
09/12/2023,$189.21,3667566,$186.19,$189.94,$185.97
09/11/2023,$186.21,2115478,$185.93,$186.641,$184.75
09/08/2023,$184.52,1769739,$183.80,$184.99,$183.42
09/07/2023,$184.12,2086214,$184.75,$185.83,$183.23
09/06/2023,$184.51,2228925,$185.04,$185.83,$183.63
09/05/2023,$185.70,2229187,$188.58,$188.80,$185.62
09/01/2023,$188.39,1595824,$189.02,$189.49,$187.54
08/31/2023,$187.94,2598517,$188.45,$189.40,$187.92
08/30/2023,$188.56,2206947,$189.52,$190.70,$187.7101
08/29/2023,$189.52,2180494,$187.88,$189.82,$187.35
08/28/2023,$187.88,1941139,$188.44,$189.635,$187.12
08/25/2023,$186.30,1943869,$185.62,$187.1712,$184.575
08/24/2023,$185.16,2391471,$186.94,$188.79,$185.11
08/23/2023,$187.08,1899304,$186.50,$187.57,$186.15
08/22/2023,$186.01,1713108,$187.35,$187.495,$185.55
08/21/2023,$186.95,1930803,$186.01,$187.30,$185.42
08/18/2023,$186.58,2053767,$185.19,$187.555,$185.07
08/17/2023,$185.98,2481131,$187.46,$188.215,$185.98
08/16/2023,$186.49,2241316,$187.65,$188.50,$186.41
08/15/2023,$187.80,2251989,$187.98,$188.4204,$186.56
08/14/2023,$189.51,2444190,$190.95,$191.81,$189.16
08/11/2023,$190.67,2700032,$188.20,$191.435,$188.20
08/10/2023,$188.74,2811662,$188.22,$190.6187,$188.06
08/09/2023,$189.24,3224678,$187.05,$190.27,$187.00
08/08/2023,$187.65,3261703,$188.60,$188.60,$186.57
08/07/2023,$189.60,2842650,$190.11,$190.665,$188.60
08/04/2023,$189.21,2408676,$191.26,$191.82,$188.81
08/03/2023,$190.51,2509410,$192.78,$192.90,$190.46
08/02/2023,$192.90,2997973,$193.90,$195.30,$192.40
08/01/2023,$193.48,3976944,$193.35,$194.80,$192.96
07/31/2023,$194.13,3447783,$195.12,$195.505,$193.42
07/28/2023,$195.19,3936174,$197.66,$198.21,$195.01
07/27/2023,$196.41,6595540,$203.71,$204.12,$195.65
07/26/2023,$208.26,3293054,$208.78,$209.40,$207.19
07/25/2023,$209.68,1968377,$208.15,$210.135,$207.27
07/24/2023,$209.32,1846799,$208.67,$210.16,$208.21
07/21/2023,$208.60,7529639,$208.31,$210.39,$207.78
07/20/2023,$207.96,2532700,$206.15,$209.24,$205.584
07/19/2023,$205.17,2505953,$203.85,$206.06,$203.83
07/18/2023,$205.25,3668886,$206.70,$207.1599,$203.95
07/17/2023,$208.17,2150723,$205.57,$208.83,$205.26
07/14/2023,$206.14,2161287,$207.91,$207.91,$205.50
07/13/2023,$208.71,2324260,$207.67,$209.21,$207.19
07/12/2023,$208.52,2967190,$210.386,$210.87,$208.35
07/11/2023,$208.73,2801495,$208.44,$209.5299,$207.44
07/10/2023,$207.74,3102208,$204.21,$207.98,$203.615
07/07/2023,$203.26,2253783,$202.88,$205.72,$202.16
07/06/2023,$204.01,2102512,$204.97,$205.05,$202.08
07/05/2023,$206.43,2336660,$207.40,$208.335,$205.95
07/03/2023,$208.30,1214925,$206.79,$208.64,$205.04
06/30/2023,$207.50,3009911,$207.67,$208.49,$206.81
06/29/2023,$206.47,2544081,$202.42,$206.63,$201.74
06/28/2023,$202.50,1972042,$203.42,$203.92,$202.00
06/27/2023,$203.34,2358820,$202.56,$204.07,$202.45
06/26/2023,$202.58,2131606,$200.30,$203.06,$199.45
06/23/2023,$200.09,3322857,$199.13,$200.66,$198.645
06/22/2023,$200.65,1616945,$201.96,$202.275,$199.63
06/21/2023,$201.80,2553482,$199.29,$202.78,$198.11
06/20/2023,$200.40,2085168,$202.65,$202.97,$199.03
06/16/2023,$202.97,5005821,$205.00,$206.015,$202.46
06/15/2023,$203.73,2467702,$201.25,$204.10,$200.425
06/14/2023,$200.52,2656842,$202.00,$202.81,$198.66
06/13/2023,$201.11,1987889,$198.50,$201.28,$197.755
06/12/2023,$198.50,1680776,$198.21,$198.953,$196.625
06/09/2023,$197.89,1760237,$197.63,$198.76,$196.09
06/08/2023,$198.15,1626605,$197.87,$198.75,$197.0575
06/07/2023,$198.39,2555467,$196.96,$198.70,$194.23
06/06/2023,$196.34,2294495,$197.56,$198.10,$195.36
06/05/2023,$197.18,1662658,$198.72,$199.12,$196.049
06/02/2023,$198.85,2740769,$196.45,$199.56,$195.89
06/01/2023,$193.86,1908989,$191.85,$194.30,$190.47
05/31/2023,$191.60,3655780,$193.85,$194.04,$190.36
05/30/2023,$194.55,2256597,$193.60,$194.78,$190.42
05/26/2023,$193.75,1972053,$192.78,$194.315,$192.145
05/25/2023,$192.27,2421623,$191.87,$192.55,$189.99
05/24/2023,$191.86,1744508,$194.93,$195.20,$190.89
05/23/2023,$194.97,2159034,$197.20,$197.57,$194.89
05/22/2023,$196.93,1763744,$197.05,$198.41,$195.22
05/19/2023,$197.35,2669524,$199.50,$200.26,$197.06
05/18/2023,$198.25,2438035,$195.45,$198.39,$194.89
05/17/2023,$196.02,2420950,$193.03,$196.4257,$192.535
05/16/2023,$191.61,2050805,$193.96,$193.96,$191.30
05/15/2023,$194.31,1565880,$193.50,$195.475,$192.65
05/12/2023,$193.62,2102037,$194.94,$195.35,$192.70
05/11/2023,$193.98,2870794,$195.93,$196.29,$193.20
05/10/2023,$197.34,2158477,$197.49,$198.74,$194.32
05/09/2023,$197.13,2237665,$195.96,$198.285,$194.96
05/08/2023,$196.95,1494474,$199.75,$199.98,$195.967
05/05/2023,$198.42,2088101,$197.34,$198.59,$196.78
05/04/2023,$196.22,2304847,$198.215,$199.00,$194.93
05/03/2023,$197.96,2775285,$199.85,$200.61,$197.71
05/02/2023,$198.26,2588338,$199.66,$199.66,$196.3701
05/01/2023,$200.48,2224861,$200.00,$202.155,$199.96
04/28/2023,$199.84,2851573,$199.00,$200.81,$198.49
04/27/2023,$198.61,3862369,$195.94,$198.85,$193.57
04/26/2023,$190.90,3579352,$193.88,$194.47,$190.18
04/25/2023,$195.96,2244307,$198.52,$198.91,$195.86
04/24/2023,$196.78,1605640,$197.21,$198.08,$196.27
04/21/2023,$196.08,1970694,$197.09,$197.35,$195.40
04/20/2023,$196.75,1947074,$197.50,$197.76,$196.00
04/19/2023,$197.81,1864129,$198.25,$198.66,$197.22
04/18/2023,$196.93,2399951,$198.72,$199.47,$196.22
04/17/2023,$197.86,1682747,$197.18,$198.07,$196.74
04/14/2023,$196.55,1964058,$195.63,$197.73,$195.25
04/13/2023,$195.90,3360733,$193.25,$196.42,$192.60
04/12/2023,$193.23,3656911,$193.46,$194.87,$192.33
04/11/2023,$192.19,2435597,$192.88,$193.16,$191.82
04/10/2023,$191.68,2540349,$190.74,$192.60,$190.32
04/06/2023,$190.46,2782289,$189.61,$192.11,$189.01
04/05/2023,$189.43,3030036,$190.29,$191.01,$189.28
04/04/2023,$190.94,2499133,$193.12,$193.23,$189.68
04/03/2023,$193.28,2873741,$190.57,$193.90,$189.96
03/31/2023,$191.12,2702570,$190.12,$191.38,$189.33
03/30/2023,$189.12,1999467,$189.61,$190.44,$187.98
03/29/2023,$189.07,2684187,$189.66,$189.71,$187.765
03/28/2023,$187.92,2069760,$187.75,$189.61,$187.40
03/27/2023,$187.99,2133141,$188.63,$189.5949,$187.43
03/24/2023,$188.16,2332277,$186.39,$188.22,$184.60
03/23/2023,$186.92,2360130,$186.86,$189.4161,$185.55
03/22/2023,$187.16,2348725,$191.72,$192.00,$187.08
03/21/2023,$191.16,3133912,$191.07,$192.14,$189.15
03/20/2023,$189.88,2840845,$185.96,$190.24,$185.51
03/17/2023,$184.64,7383864,$187.81,$188.005,$184.23
03/16/2023,$189.14,3897012,$187.37,$189.77,$186.30
03/15/2023,$188.12,3926282,$190.07,$191.01,$184.76
03/14/2023,$192.97,4853203,$196.06,$196.1739,$190.17
03/13/2023,$193.10,3223590,$193.00,$195.23,$192.17
03/10/2023,$193.33,3667341,$192.88,$196.68,$191.89
03/09/2023,$192.88,3188590,$196.88,$196.95,$192.35
03/08/2023,$195.57,2065035,$196.28,$196.65,$194.13
03/07/2023,$195.62,2781131,$197.42,$198.20,$194.75
03/06/2023,$197.04,2721778,$197.19,$199.31,$196.65
03/03/2023,$196.82,3116629,$195.44,$197.54,$194.22
03/02/2023,$194.45,4254284,$191.59,$195.12,$191.50
03/01/2023,$192.88,3231729,$190.63,$194.35,$190.57
02/28/2023,$191.48,3110131,$191.51,$192.36,$189.63
02/27/2023,$192.45,3363256,$194.42,$195.00,$191.74
02/24/2023,$192.04,3305720,$193.89,$193.89,$190.86
02/23/2023,$195.02,2446679,$196.04,$196.04,$192.58
02/22/2023,$195.49,2963294,$197.08,$197.49,$194.62
02/21/2023,$196.76,2831026,$201.57,$201.65,$196.45
